127.0.0.1 - - [11/Jan/2017:11:17:00 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:00 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:01 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:01 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:05 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:05 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:06 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:06 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:06 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:06 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:07 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:07 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:08 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:08 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:09 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:09 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:09 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:09 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:10 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:10 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:11 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:11 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:12 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
127.0.0.1 - - [11/Jan/2017:11:17:12 +0800] "GET /websocket HTTP/1.1" 101 48 "-" "WebSocket++/0.5.1"
